Team,Total Passes,Total Progressive Passes
Troyes,13247,1024
PSG,24022,1579
Marseille,21391,1439
Lorient,13253,1075
Lens,16828,1428
Monaco,16483,1597
Lyon,19992,1513
LOSC,15249,1239
Rennes,17844,1390
Montpellier,14114,1132
Clermont Foot,15832,1140
Toulouse,14080,1058
Nice,16278,1217
Angers,15582,1096
Nantes,12794,1046
Metz,12177,807
Reims,12246,979
Strasbourg,14824,1360
Brest,12847,1098
Bordeaux,13715,1085
