Player,Nation,Pos,Age,90s,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Gauthier Gallon,fr FRA,GK,29-145,7,0,0,,0,0,0,0,0,0,0,0,0,1,0
Rominigue Kouamé,ml MLI,MF,25-272,7,97,18,18.6,40,52,5,11,1,0,10,16,24,6,0
Florian Tardieu,fr FRA,MF,30-146,6.8,101,29,28.7,50,45,6,16,3,0,13,17,38,11,0
Erik Palmer-Brown,us USA,DF,25-144,6.7,47,18,38.3,32,13,2,16,5,1,11,18,29,31,0
Mama Samba Baldé,gw GNB,FW,26-313,5.7,108,36,33.3,18,56,34,6,1,0,5,3,16,1,0
Yasser Larouci,dz ALG,DF,21-257,5.3,39,11,28.2,17,14,8,4,0,0,4,10,18,9,0
Yoann Salmier,gf GUF,DF,29-298,5.2,43,16,37.2,26,15,2,10,5,0,5,9,21,17,0
Thierno Balde,fr FRA,DF,20-097,4.7,50,7,14,31,15,4,5,2,0,3,16,26,8,0
Jackson Porozo,ec ECU,DF,22-042,4.6,37,9,24.3,24,13,0,11,5,0,6,15,21,23,0
Renaud Ripart,fr FRA,FW,29-185,3.5,73,25,34.2,18,40,15,8,0,0,8,0,6,1,0
Ike Ugbo,ca CAN,FW,23-359,2.9,54,8,14.8,4,33,17,3,0,0,3,1,3,0,0
Adil Rami,fr FRA,DF,36-262,4,31,14,45.2,17,13,1,3,2,0,1,8,16,14,1
Rony Lopes,pt POR,"FW,MF",26-261,2.3,35,9,25.7,5,25,5,0,0,0,0,3,8,4,0
Wilson Odobert,fr FRA,"FW,DF",17-291,2.8,64,13,20.3,11,42,11,1,0,0,1,4,9,0,0
Xavier Chavalerin,fr FRA,"FW,MF",31-192,2.6,38,9,23.7,13,16,9,3,0,0,3,4,4,1,0
Andreas Bruus,dk DEN,DF,23-242,1.9,12,4,33.3,6,4,2,2,1,0,1,4,5,1,0
Papa Ndiaga Yade,sn SEN,"DF,FW",22-253,1.6,14,5,35.7,7,6,1,4,0,0,4,4,7,1,0
Tristan Dingomé,cm CMR,FW,31-210,0.7,12,3,25,2,3,7,0,0,0,0,0,1,0,0
Kyliane Dong,fr FRA,"FW,DF",17-353,0.6,9,2,22.2,4,4,1,0,0,0,0,1,3,0,0
Abdu Conté,pt POR,DF,24-175,0.3,3,0,0,1,2,0,0,0,0,0,0,1,1,0
Lucien Agoume,fr FRA,MF,20-218,0.1,2,1,50,1,1,0,0,0,0,0,0,1,1,0
